deck_id,arcana,position,suit,name,keytext
0,major,0,,The Fool,
0,major,1,,The Magician,
0,major,2,,The High Priestess,
0,major,3,,The Empress,
0,major,4,,The Emperor,
0,major,5,,The Hierophant,
0,major,6,,The Lovers,
0,major,7,,The Chariot,
0,major,8,,Strength,
0,major,9,,The Hermit,
0,major,10,,Wheel of Fortune,
0,major,11,,Justice,
0,major,12,,The Hanged Man,
0,major,13,,Death,
0,major,14,,Temperance,
0,major,15,,The Devil,
0,major,16,,The Tower,
0,major,17,,The Star,
0,major,18,,The Moon,
0,major,19,,The Sun,
0,major,20,,Judgment,
0,major,21,,The World,
0,minor,1,swords,Ace,
0,minor,2,swords,,
0,minor,3,swords,,
0,minor,4,swords,,
0,minor,5,swords,,
0,minor,6,swords,,
0,minor,7,swords,,
0,minor,8,swords,,
0,minor,9,swords,,
0,minor,10,swords,,
0,minor,11,swords,Page,
0,minor,12,swords,Knight,
0,minor,13,swords,Queen,
0,minor,14,swords,King,
0,minor,1,wands,Ace,
0,minor,2,wands,,
0,minor,3,wands,,
0,minor,4,wands,,
0,minor,5,wands,,
0,minor,6,wands,,
0,minor,7,wands,,
0,minor,8,wands,,
0,minor,9,wands,,
0,minor,10,wands,,
0,minor,11,wands,Page,
0,minor,12,wands,Knight,
0,minor,13,wands,Queen,
0,minor,14,wands,King,
0,minor,1,cups,Ace,
0,minor,2,cups,,
0,minor,3,cups,,
0,minor,4,cups,,
0,minor,5,cups,,
0,minor,6,cups,,
0,minor,7,cups,,
0,minor,8,cups,,
0,minor,9,cups,,
0,minor,10,cups,,
0,minor,11,cups,Page,
0,minor,12,cups,Knight,
0,minor,13,cups,Queen,
0,minor,14,cups,King,
0,minor,1,pentacles,Ace,
0,minor,2,pentacles,,
0,minor,3,pentacles,,
0,minor,4,pentacles,,
0,minor,5,pentacles,,
0,minor,6,pentacles,,
0,minor,7,pentacles,,
0,minor,8,pentacles,,
0,minor,9,pentacles,,
0,minor,10,pentacles,,
0,minor,11,pentacles,Page,
0,minor,12,pentacles,Knight,
0,minor,13,pentacles,Queen,
0,minor,14,pentacles,King,
